d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-01,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured;g__uncultured,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__uncultured,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DMER64,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Thermovirga,d__Bacteria;p__Firmicutes;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JGI-0000079-D21,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__,d__Bacteria;p__Firmicutes;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfotomaculales;g__Pelotomaculum,Average-Total-ISD-Cells,ACE-Xi,ACE-km,ACE-Ks,H2-Xi,H2-km,H2-Ks
0.280581673,0.009794432,0.010370575,0.142883481,1.646616886,0.611287794,0.099672751,1.796990229,1.608015303,1.801023231,1.546944136,1.857485251,0.466675885,0.073746313,0.1071626099999999,0.034568584,0.218358223,2008896802,x,x,x,0.002,14.7,0.00022
0.289855072,0.0,0.0,0.112721417,2.109500805,0.821256038,0.0,1.91626409,1.417069243,1.723027375,3.446054751,5.233494364,0.4991948469999999,0.0,0.080515298,0.0,0.40257649,3373011364,x,x,x,0.002,12,0.00013
0.309003729,2.069792222,0.023974427,0.063931806,5.375599361,1.4917421409999998,0.958977092,0.559403304,2.21630261,0.873734684,1.062866276,0.655301012,0.612679808,0.090570059,0.098561534,0.0,0.029302078,1154149690,0.02,5.5,0.012,x,x,x
0.162251067,2.13371266,0.006667852,0.1155761019999999,5.803253912,1.6225106690000002,1.069078947,0.135579659,2.380423187,0.615665008,0.849039829,0.584548364,0.488975818,0.137802276,0.082236842,0.0,0.0,1046822297,0.025,4.9,0.027,x,x,x
0.14830683,1.713767817,0.0,0.094751586,5.182499794,1.42127379,1.091703057,0.560270248,2.298755871,0.856883909,0.92691769,1.998022576,0.535552443,0.057674878,0.102990854,0.0,0.032957073,1158235709,0.019,5.9,0.021,x,x,x
0.618378575,2.06277755,0.485002804,0.0,1.6414313640000002,0.409221116,3.113111748,4.651480016,0.4228618189999999,2.423498386,3.86335046,0.703254066,0.510768577,0.380424074,0.013640704,0.006062535,0.0,966276998,0.024,5.7,0.018,0.001,37.4,0.00011
0.52637828,2.386512051,0.47097004,0.0,1.729528635,0.502631892,3.344283057,5.054023034,0.368069023,2.96434084,3.791506709,0.755926703,0.52637828,0.451181383,0.0,0.0,0.0,893428329,0.042,3.3,0.013,0.0005,37.6,0.00011
0.605786618,1.758589512,0.608800483,0.007534659,1.4195298369999998,0.453586498,3.560880049,4.849306812,0.345087402,2.038878843,3.844183243,0.602772755,0.468655817,0.433996383,0.022603978,0.0,0.0,999495168,0.024,5.6,0.01,0.001,37.7,0.00017
0.579757482,0.365410525,0.0,0.126566774,1.286081737,0.387865921,0.106152778,2.566039276,0.175560364,1.367737721,11.848283183000005,0.085738783,1.053362185,0.3449965299999999,0.024496795,0.949250807,1.281998938,1478727770,0.05,4.9,0.081,0.001,30.7,0.00022
0.3416384,0.22206496,0.0,0.046365211,1.166451108,0.395324434,0.165938651,2.684301716,0.148856732,1.220137143,13.782669172,0.053686034,1.007833281,0.2757509939999999,0.0,0.954147246,1.037116572,1416864945,0.029,9.1,0.022,0.001,33.9,0.00013
0.529361478,0.304465049,0.0131518379999999,0.0894324989999999,1.370421516,0.328138357,0.084829355,2.673768659,0.134806339,1.359900045,13.79956599,0.099953969,1.196159662,0.382718485,0.0,0.933780496,1.154073782,1507692252,0.032,7.9,0.018,0.001,32.5,0.00027
