,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.41317624,0.0,0.2967668,0.0,0.0,0.0,0.41638088,0.0,0.4220938,0.29294506,0.0,0.38446757,0.36083946,0.0,0.0,0.29476157,0.4313656,0.0,0.0,0.43201774,0.0,0.41113046,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.41080487,0.39786544,0.3642412,0.0,0.0,0.0,0.0,0.0,0.0,0.33619094,0.0,0.0,0.0,0.0,0.42450827,0.41435185,0.0,0.34833607,0.42141277,0.0,0.0,0.0,0.0,0.2668081,0.26841515
uncultured,0.0,0.41080487,0.0,0.40489656,0.0,0.0,0.0,0.34710163,0.0,0.40741056,0.0,0.0,0.0,0.0,0.0,0.0,0.3141355,0.3724141,0.35169348,0.0,0.2808476,0.2984678,0.0,0.0,0.3859564,0.40005985,0.0
UnclassifiedFamily,0.41317624,0.39786544,0.40489656,0.0,0.3215104,0.4344201,0.40505505,0.0,0.0,0.41833892,0.0,0.0,0.0,0.34976837,0.38344595,0.0,0.0,0.3999635,0.0,0.0,0.397042,0.0,0.0,0.33328035,0.0,0.43455645,0.0
Aminicenantales,0.0,0.3642412,0.0,0.3215104,0.0,0.35217905,0.35653308,0.0,0.0,0.0,0.0,0.0,0.0,0.41863072,0.0,0.0,0.36470458,0.40112287,0.0,0.0,0.43203697,0.39735624,0.0,0.0,0.0,0.0,0.33645478
Rikenellaceae,0.2967668,0.0,0.0,0.4344201,0.35217905,0.0,0.0,0.0,0.0,0.38183036,0.0,0.0,0.3816881,0.0,0.36888573,0.0,0.0,0.31399244,0.4139458,0.0,0.28875655,0.0,0.40752527,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.40505505,0.35653308,0.0,0.0,0.0,0.0,0.36157876,0.0,0.0,0.0,0.42708135,0.0,0.41010776,0.41623008,0.0,0.3886114,0.0,0.3753826,0.0,0.0,0.35967883,0.0,0.0,0.38340712
JS1,0.0,0.0,0.34710163,0.0,0.0,0.0,0.0,0.0,0.42337912,0.3021279,0.40970886,0.29859746,0.29591888,0.0,0.0,0.34780377,0.35332182,0.0,0.398805,0.41010812,0.0,0.34169292,0.28881338,0.0,0.35021156,0.0,0.38798517
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42337912,0.0,0.31942165,0.3902704,0.0,0.0,0.0,0.0,0.0,0.38268647,0.27363956,0.32050782,0.0,0.2974787,0.0,0.26363993,0.42706305,0.3895552,0.39348546,0.0
Cloacimonadaceae,0.41638088,0.0,0.40741056,0.41833892,0.0,0.38183036,0.36157876,0.3021279,0.31942165,0.0,0.39443558,0.30390507,0.40342978,0.43191704,0.2964049,0.36657134,0.39567003,0.32252297,0.41209552,0.3773756,0.40947908,0.2830263,0.0,0.3762579,0.36959782,0.42606655,0.37823793
