,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.27432674,0.0,0.42692646,0.0,0.0,0.0,0.37845945,0.0,0.32440472,0.27961892,0.0,0.40726918,0.3521952,0.0,0.0,0.34133962,0.3269588,0.0,0.0,0.40687284,0.0,0.41718623,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.43894258,0.3622002,0.35098907,0.0,0.0,0.0,0.0,0.0,0.0,0.3189299,0.0,0.0,0.0,0.0,0.36713228,0.43659815,0.0,0.39393464,0.41359845,0.0,0.0,0.0,0.0,0.4021072,0.39201373
uncultured,0.0,0.43894258,0.0,0.44061616,0.0,0.0,0.0,0.39533973,0.0,0.36313158,0.0,0.0,0.0,0.0,0.0,0.0,0.42044064,0.32539222,0.4084095,0.0,0.34194177,0.27686206,0.0,0.0,0.34511313,0.35998353,0.0
UnclassifiedFamily,0.27432674,0.3622002,0.44061616,0.0,0.41270334,0.38066274,0.43199217,0.0,0.0,0.3856931,0.0,0.0,0.0,0.3523223,0.39980668,0.0,0.0,0.37820148,0.0,0.0,0.4053565,0.0,0.0,0.3096898,0.0,0.31893933,0.0
Aminicenantales,0.0,0.35098907,0.0,0.41270334,0.0,0.40268221,0.38386965,0.0,0.0,0.0,0.0,0.0,0.0,0.37815726,0.0,0.0,0.38176745,0.34361658,0.0,0.0,0.36330828,0.30960003,0.0,0.0,0.0,0.0,0.39554372
Rikenellaceae,0.42692646,0.0,0.0,0.38066274,0.40268221,0.0,0.0,0.0,0.0,0.39382818,0.0,0.0,0.43221363,0.0,0.26648918,0.0,0.0,0.3988036,0.36344385,0.0,0.26963723,0.0,0.4297184,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.43199217,0.38386965,0.0,0.0,0.0,0.0,0.3345698,0.0,0.0,0.0,0.35257593,0.0,0.34826642,0.28050482,0.0,0.43383062,0.0,0.30299756,0.0,0.0,0.35199994,0.0,0.0,0.39906907
JS1,0.0,0.0,0.39533973,0.0,0.0,0.0,0.0,0.0,0.29529288,0.43103144,0.43163887,0.4130362,0.3860892,0.0,0.0,0.35593382,0.334855,0.0,0.3450359,0.39596552,0.0,0.34246618,0.30022514,0.0,0.36274856,0.0,0.3030689
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29529288,0.0,0.34491146,0.41237152,0.0,0.0,0.0,0.0,0.0,0.31946766,0.33879295,0.28975338,0.0,0.43391654,0.0,0.37418312,0.30387068,0.43900558,0.33517635,0.0
Cloacimonadaceae,0.37845945,0.0,0.36313158,0.3856931,0.0,0.39382818,0.3345698,0.43103144,0.34491146,0.0,0.38995847,0.3812391,0.28437063,0.42195505,0.41547492,0.43616295,0.41017008,0.43866378,0.4293749,0.29391658,0.34909678,0.37067926,0.0,0.3879351,0.34560227,0.35341036,0.40286097
