,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.43687594,0.0,0.44868273,0.0,0.0,0.0,0.43024686,0.0,0.4501264,0.363181,0.0,0.43274578,0.45562315,0.0,0.0,0.3245522,0.3198001,0.0,0.0,0.379667,0.0,0.42795706,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.41257578,0.3170822,0.39156544,0.0,0.0,0.0,0.0,0.0,0.0,0.32223853,0.0,0.0,0.0,0.0,0.40223205,0.28786227,0.0,0.31783506,0.3872693,0.0,0.0,0.0,0.0,0.31353638,0.41100916
uncultured,0.0,0.41257578,0.0,0.36468422,0.0,0.0,0.0,0.3063067,0.0,0.44901502,0.0,0.0,0.0,0.0,0.0,0.0,0.45756316,0.38787988,0.44422358,0.0,0.3964887,0.4386334,0.0,0.0,0.28756893,0.35046992,0.0
UnclassifiedFamily,0.43687594,0.3170822,0.36468422,0.0,0.45661145,0.451901,0.43657932,0.0,0.0,0.29026252,0.0,0.0,0.0,0.42069125,0.32594994,0.0,0.0,0.42984015,0.0,0.0,0.30137807,0.0,0.0,0.344248,0.0,0.42178947,0.0
Aminicenantales,0.0,0.39156544,0.0,0.45661145,0.0,0.41379863,0.40091977,0.0,0.0,0.0,0.0,0.0,0.0,0.43201616,0.0,0.0,0.4013607,0.40386552,0.0,0.0,0.37237,0.4582906,0.0,0.0,0.0,0.0,0.41070995
Rikenellaceae,0.44868273,0.0,0.0,0.451901,0.41379863,0.0,0.0,0.0,0.0,0.3390269,0.0,0.0,0.44642577,0.0,0.37641376,0.0,0.0,0.43517312,0.39075258,0.0,0.42710805,0.0,0.41952682,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.43657932,0.40091977,0.0,0.0,0.0,0.0,0.45805416,0.0,0.0,0.0,0.33600804,0.0,0.41625893,0.40881371,0.0,0.45312673,0.0,0.41964492,0.0,0.0,0.360661,0.0,0.0,0.44407225
JS1,0.0,0.0,0.3063067,0.0,0.0,0.0,0.0,0.0,0.45687973,0.416846,0.3980301,0.42554194,0.370054,0.0,0.0,0.28678507,0.45243546,0.0,0.45548168,0.40746891,0.0,0.36388946,0.34976426,0.0,0.3487775,0.0,0.35151368
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45687973,0.0,0.4488353,0.38852006,0.0,0.0,0.0,0.0,0.0,0.4259249,0.4567638,0.39336118,0.0,0.44547036,0.0,0.44832644,0.38129985,0.38358977,0.366225,0.0
Cloacimonadaceae,0.43024686,0.0,0.44901502,0.29026252,0.0,0.3390269,0.45805416,0.416846,0.4488353,0.0,0.44772157,0.31880313,0.450297,0.297355,0.43550906,0.32334363,0.2894973,0.43616658,0.45467553,0.3654719,0.4207789,0.3963705,0.0,0.4165381,0.45790935,0.42557555,0.36649618
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3980301,0.38852006,0.44772157,0.0,0.41999623,0.35209605,0.0,0.0,0.35403526,0.41135833,0.0,0.29361004,0.40923193,0.0,0.40774104,0.44995585,0.0,0.425618,0.0,0.26508376
SAR324_clade(Marine_group_B),0.4501264,0.32223853,0.0,0.0,0.0,0.0,0.0,0.42554194,0.0,0.31880313,0.41999623,0.0,0.39305,0.0,0.0,0.32129174,0.4432592,0.0,0.0,0.3410038,0.0,0.0,0.31341457,0.0,0.0,0.0,0.2928608
Syntrophobacteraceae,0.363181,0.0,0.0,0.0,0.0,0.44642577,0.0,0.370054,0.0,0.450297,0.35209605,0.39305,0.0,0.4589864,0.44883117,0.0,0.39423886,0.0,0.0,0.32005605,0.0,0.33562607,0.44917864,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.42069125,0.43201616,0.0,0.33600804,0.0,0.0,0.297355,0.0,0.0,0.4589864,0.0,0.0,0.37764552,0.0,0.0,0.0,0.0,0.4111999,0.0,0.0,0.36177558,0.36629844,0.4447883,0.4222643
Gracilibacteraceae,0.43274578,0.0,0.0,0.32594994,0.0,0.37641376,0.0,0.0,0.0,0.43550906,0.0,0.0,0.44883117,0.0,0.0,0.4162448,0.0,0.0,0.2784628,0.0,0.27697623,0.0,0.3232139,0.37827826,0.0,0.0,0.0
Bacteroidetes_vadinHA17,0.45562315,0.0,0.0,0.0,0.0,0.0,0.41625893,0.28678507,0.0,0.32334363,0.35403526,0.32129174,0.0,0.37764552,0.4162448,0.0,0.40038964,0.0,0.0,0.36192217,0.0,0.0,0.34769756,0.44881552,0.0,0.0,0.42823216
Syntrophorhabdaceae,0.0,0.40223205,0.45756316,0.0,0.4013607,0.0,0.40881371,0.45243546,0.4259249,0.2894973,0.41135833,0.4432592,0.39423886,0.0,0.0,0.40038964,0.0,0.3977776,0.43000093,0.0,0.4327708,0.37396914,0.0,0.0,0.0,0.0,0.42476863
Synergistaceae,0.0,0.28786227,0.38787988,0.42984015,0.40386552,0.43517312,0.0,0.0,0.4567638,0.43616658,0.0,0.0,0.0,0.0,0.0,0.0,0.3977776,0.0,0.0,0.0,0.4450229,0.0,0.0,0.0,0.0,0.43513674,0.0
Prolixibacteraceae,0.3245522,0.0,0.44422358,0.0,0.0,0.39075258,0.45312673,0.45548168,0.39336118,0.45467553,0.29361004,0.0,0.0,0.0,0.2784628,0.0,0.43000093,0.0,0.0,0.0,0.35168937,0.44266784,0.0,0.41749197,0.3847369,0.0,0.0
Methanosaetaceae,0.3198001,0.31783506,0.0,0.0,0.0,0.0,0.0,0.40746891,0.0,0.3654719,0.40923193,0.3410038,0.32005605,0.0,0.0,0.36192217,0.0,0.0,0.0,0.0,0.0,0.42562845,0.31162685,0.0,0.0,0.0,0.0
Christensenellaceae,0.0,0.3872693,0.3964887,0.30137807,0.37237,0.42710805,0.41964492,0.0,0.44547036,0.4207789,0.0,0.0,0.0,0.4111999,0.27697623,0.0,0.4327708,0.4450229,0.35168937,0.0,0.0,0.0,0.0,0.41044453,0.41989413,0.27549762,0.4448723
Methanoregulaceae,0.0,0.0,0.4386334,0.0,0.4582906,0.0,0.0,0.36388946,0.0,0.3963705,0.40774104,0.0,0.33562607,0.0,0.0,0.0,0.37396914,0.0,0.44266784,0.42562845,0.0,0.0,0.0,0.0,0.28531283,0.0,0.0
Geobacteraceae,0.379667,0.0,0.0,0.0,0.0,0.41952682,0.0,0.34976426,0.44832644,0.0,0.44995585,0.31341457,0.44917864,0.0,0.3232139,0.34769756,0.0,0.0,0.0,0.31162685,0.0,0.0,0.0,0.0,0.0,0.3900967,0.0
SBR1031,0.0,0.0,0.0,0.344248,0.0,0.0,0.360661,0.0,0.38129985,0.4165381,0.0,0.0,0.0,0.36177558,0.37827826,0.44881552,0.0,0.0,0.41749197,0.0,0.41044453,0.0,0.0,0.0,0.0,0.3003883,0.0
Pedosphaeraceae,0.42795706,0.0,0.28756893,0.0,0.0,0.0,0.0,0.3487775,0.38358977,0.45790935,0.425618,0.0,0.0,0.36629844,0.0,0.0,0.0,0.0,0.3847369,0.0,0.41989413,0.28531283,0.0,0.0,0.0,0.0,0.0
Calditrichaceae,0.0,0.31353638,0.35046992,0.42178947,0.0,0.0,0.0,0.0,0.366225,0.42557555,0.0,0.0,0.0,0.4447883,0.0,0.0,0.0,0.43513674,0.0,0.0,0.27549762,0.0,0.3900967,0.3003883,0.0,0.0,0.0
Kosmotogaceae,0.0,0.41100916,0.0,0.0,0.41070995,0.0,0.44407225,0.35151368,0.0,0.36649618,0.26508376,0.2928608,0.0,0.4222643,0.0,0.42823216,0.42476863,0.0,0.0,0.0,0.4448723,0.0,0.0,0.0,0.0,0.0,0.0
