,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.29065543,0.0,0.43456504,0.0,0.0,0.0,0.43784603,0.0,0.32997322,0.40302712,0.0,0.37389725,0.4097051,0.0,0.0,0.34363025,0.42752308,0.0,0.0,0.4033397,0.0,0.2691081,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.4180442,0.37824088,0.44503853,0.0,0.0,0.0,0.0,0.0,0.0,0.43810305,0.0,0.0,0.0,0.0,0.41343978,0.40915665,0.0,0.4515902,0.4060235,0.0,0.0,0.0,0.0,0.38170382,0.45630395
uncultured,0.0,0.4180442,0.0,0.34063917,0.0,0.0,0.0,0.33763078,0.0,0.39011368,0.0,0.0,0.0,0.0,0.0,0.0,0.42776057,0.34382963,0.3545965,0.0,0.353292,0.32818505,0.0,0.0,0.40255335,0.3715363,0.0
UnclassifiedFamily,0.29065543,0.37824088,0.34063917,0.0,0.3003428,0.4166274,0.34599704,0.0,0.0,0.413487,0.0,0.0,0.0,0.37513945,0.45873132,0.0,0.0,0.32580498,0.0,0.0,0.35686862,0.0,0.0,0.32469046,0.0,0.35280737,0.0
Aminicenantales,0.0,0.44503853,0.0,0.3003428,0.0,0.39107966,0.33716178,0.0,0.0,0.0,0.0,0.0,0.0,0.43189484,0.0,0.0,0.43762392,0.28995204,0.0,0.0,0.42771733,0.43806553,0.0,0.0,0.0,0.0,0.40789735
Rikenellaceae,0.43456504,0.0,0.0,0.4166274,0.39107966,0.0,0.0,0.0,0.0,0.34002408,0.0,0.0,0.45706713,0.0,0.36882463,0.0,0.0,0.32760045,0.4211747,0.0,0.4487553,0.0,0.34796166,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.34599704,0.33716178,0.0,0.0,0.0,0.0,0.38555762,0.0,0.0,0.0,0.3951486,0.0,0.35820207,0.3901648,0.0,0.39080897,0.0,0.34222862,0.0,0.0,0.3985005,0.0,0.0,0.40249345
JS1,0.0,0.0,0.33763078,0.0,0.0,0.0,0.0,0.0,0.2893939,0.45922345,0.3607999,0.3604121,0.43376234,0.0,0.0,0.26894027,0.32974446,0.0,0.4101742,0.33682555,0.0,0.37169534,0.36979702,0.0,0.37445155,0.0,0.38508636
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2893939,0.0,0.44653627,0.35074177,0.0,0.0,0.0,0.0,0.0,0.44602567,0.45155078,0.41019082,0.0,0.41063476,0.0,0.38333148,0.3353931,0.42401433,0.3737964,0.0
Cloacimonadaceae,0.43784603,0.0,0.39011368,0.413487,0.0,0.34002408,0.38555762,0.45922345,0.44653627,0.0,0.36930478,0.4428983,0.41992784,0.4464892,0.37360466,0.4202723,0.2741263,0.45783827,0.3357023,0.45727214,0.45122972,0.44976255,0.0,0.40006983,0.33327857,0.36712533,0.3171441
