,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.30935308,0.0,0.37967458,0.0,0.0,0.0,0.4370267,0.0,0.3390073,0.44514206,0.0,0.42811236,0.3651014,0.0,0.0,0.37356797,0.4568778,0.0,0.0,0.42229962,0.0,0.44907728,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.3124501,0.4020989,0.35126963,0.0,0.0,0.0,0.0,0.0,0.0,0.38318598,0.0,0.0,0.0,0.0,0.38559845,0.37132132,0.0,0.45019835,0.28518906,0.0,0.0,0.0,0.0,0.38949886,0.45519605
uncultured,0.0,0.3124501,0.0,0.32256097,0.0,0.0,0.0,0.3188826,0.0,0.43182454,0.0,0.0,0.0,0.0,0.0,0.0,0.36091328,0.29145047,0.4192384,0.0,0.41377202,0.45913935,0.0,0.0,0.45097142,0.3244042,0.0
UnclassifiedFamily,0.30935308,0.4020989,0.32256097,0.0,0.4229711,0.32396856,0.3236669,0.0,0.0,0.4278964,0.0,0.0,0.0,0.3949592,0.4166683,0.0,0.0,0.37162316,0.0,0.0,0.3855874,0.0,0.0,0.44732678,0.0,0.44975144,0.0
Aminicenantales,0.0,0.35126963,0.0,0.4229711,0.0,0.35556883,0.29587948,0.0,0.0,0.0,0.0,0.0,0.0,0.32030582,0.0,0.0,0.2971867,0.3516814,0.0,0.0,0.4488341,0.32304472,0.0,0.0,0.0,0.0,0.3641587
Rikenellaceae,0.37967458,0.0,0.0,0.32396856,0.35556883,0.0,0.0,0.0,0.0,0.34737185,0.0,0.0,0.42003366,0.0,0.36535242,0.0,0.0,0.33888572,0.43872362,0.0,0.44499624,0.0,0.39768842,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.3236669,0.29587948,0.0,0.0,0.0,0.0,0.35589284,0.0,0.0,0.0,0.37635192,0.0,0.38664046,0.4442261,0.0,0.42553294,0.0,0.41544116,0.0,0.0,0.42354757,0.0,0.0,0.30789307
JS1,0.0,0.0,0.3188826,0.0,0.0,0.0,0.0,0.0,0.33751196,0.36998394,0.427034,0.30801672,0.38351026,0.0,0.0,0.4477736,0.35068512,0.0,0.39248666,0.41067952,0.0,0.38109976,0.37265402,0.0,0.44373938,0.0,0.36743027
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33751196,0.0,0.392998,0.41358823,0.0,0.0,0.0,0.0,0.0,0.38080126,0.42120418,0.40088353,0.0,0.3621712,0.0,0.44764692,0.43554997,0.32334077,0.3651887,0.0
Cloacimonadaceae,0.4370267,0.0,0.43182454,0.4278964,0.0,0.34737185,0.35589284,0.36998394,0.392998,0.0,0.3665559,0.34019598,0.4180889,0.43542576,0.38503295,0.41298538,0.37184304,0.39105198,0.4513527,0.3212795,0.4453388,0.4211701,0.0,0.41936514,0.33176568,0.3831766,0.35716644
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427034,0.41358823,0.3665559,0.0,0.3319569,0.35610586,0.0,0.0,0.41967562,0.42287204,0.0,0.38320172,0.3822319,0.0,0.3228992,0.38593927,0.0,0.45075798,0.0,0.41799206
SAR324_clade(Marine_group_B),0.3390073,0.38318598,0.0,0.0,0.0,0.0,0.0,0.30801672,0.0,0.34019598,0.3319569,0.0,0.39879954,0.0,0.0,0.38440806,0.382914,0.0,0.0,0.44331202,0.0,0.0,0.40201473,0.0,0.0,0.0,0.3551831
Syntrophobacteraceae,0.44514206,0.0,0.0,0.0,0.0,0.42003366,0.0,0.38351026,0.0,0.4180889,0.35610586,0.39879954,0.0,0.40681902,0.40145993,0.0,0.36212233,0.0,0.0,0.35813588,0.0,0.45298004,0.36333856,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.3949592,0.32030582,0.0,0.37635192,0.0,0.0,0.43542576,0.0,0.0,0.40681902,0.0,0.0,0.37516645,0.0,0.0,0.0,0.0,0.3772443,0.0,0.0,0.4513654,0.44153348,0.4265381,0.38910517
Gracilibacteraceae,0.42811236,0.0,0.0,0.4166683,0.0,0.36535242,0.0,0.0,0.0,0.38503295,0.0,0.0,0.40145993,0.0,0.0,0.38906917,0.0,0.0,0.4533374,0.0,0.44453338,0.0,0.39950928,0.4069394,0.0,0.0,0.0
Bacteroidetes_vadinHA17,0.3651014,0.0,0.0,0.0,0.0,0.0,0.38664046,0.4477736,0.0,0.41298538,0.41967562,0.38440806,0.0,0.37516645,0.38906917,0.0,0.40564755,0.0,0.0,0.4405193,0.0,0.0,0.33169818,0.40720844,0.0,0.0,0.3210942
Syntrophorhabdaceae,0.0,0.38559845,0.36091328,0.0,0.2971867,0.0,0.4442261,0.35068512,0.38080126,0.37184304,0.42287204,0.382914,0.36212233,0.0,0.0,0.40564755,0.0,0.42949316,0.39796415,0.0,0.40817314,0.38177058,0.0,0.0,0.0,0.0,0.37893006
Synergistaceae,0.0,0.37132132,0.29145047,0.37162316,0.3516814,0.33888572,0.0,0.0,0.42120418,0.39105198,0.0,0.0,0.0,0.0,0.0,0.0,0.42949316,0.0,0.0,0.0,0.35526055,0.0,0.0,0.0,0.0,0.3913983,0.0
Prolixibacteraceae,0.37356797,0.0,0.4192384,0.0,0.0,0.43872362,0.42553294,0.39248666,0.40088353,0.4513527,0.38320172,0.0,0.0,0.0,0.4533374,0.0,0.39796415,0.0,0.0,0.0,0.3770186,0.35728258,0.0,0.34769732,0.4462385,0.0,0.0
Methanosaetaceae,0.4568778,0.45019835,0.0,0.0,0.0,0.0,0.0,0.41067952,0.0,0.3212795,0.3822319,0.44331202,0.35813588,0.0,0.0,0.4405193,0.0,0.0,0.0,0.0,0.0,0.45489818,0.32489645,0.0,0.0,0.0,0.0
Christensenellaceae,0.0,0.28518906,0.41377202,0.3855874,0.4488341,0.44499624,0.41544116,0.0,0.3621712,0.4453388,0.0,0.0,0.0,0.3772443,0.44453338,0.0,0.40817314,0.35526055,0.3770186,0.0,0.0,0.0,0.0,0.38013723,0.38564944,0.42810386,0.36806947
Methanoregulaceae,0.0,0.0,0.45913935,0.0,0.32304472,0.0,0.0,0.38109976,0.0,0.4211701,0.3228992,0.0,0.45298004,0.0,0.0,0.0,0.38177058,0.0,0.35728258,0.45489818,0.0,0.0,0.0,0.0,0.45860064,0.0,0.0
Geobacteraceae,0.42229962,0.0,0.0,0.0,0.0,0.39768842,0.0,0.37265402,0.44764692,0.0,0.38593927,0.40201473,0.36333856,0.0,0.39950928,0.33169818,0.0,0.0,0.0,0.32489645,0.0,0.0,0.0,0.0,0.0,0.4394045,0.0
SBR1031,0.0,0.0,0.0,0.44732678,0.0,0.0,0.42354757,0.0,0.43554997,0.41936514,0.0,0.0,0.0,0.4513654,0.4069394,0.40720844,0.0,0.0,0.34769732,0.0,0.38013723,0.0,0.0,0.0,0.0,0.41763732,0.0
Pedosphaeraceae,0.44907728,0.0,0.45097142,0.0,0.0,0.0,0.0,0.44373938,0.32334077,0.33176568,0.45075798,0.0,0.0,0.44153348,0.0,0.0,0.0,0.0,0.4462385,0.0,0.38564944,0.45860064,0.0,0.0,0.0,0.0,0.0
Calditrichaceae,0.0,0.38949886,0.3244042,0.44975144,0.0,0.0,0.0,0.0,0.3651887,0.3831766,0.0,0.0,0.0,0.4265381,0.0,0.0,0.0,0.3913983,0.0,0.0,0.42810386,0.0,0.4394045,0.41763732,0.0,0.0,0.0
Kosmotogaceae,0.0,0.45519605,0.0,0.0,0.3641587,0.0,0.30789307,0.36743027,0.0,0.35716644,0.41799206,0.3551831,0.0,0.38910517,0.0,0.3210942,0.37893006,0.0,0.0,0.0,0.36806947,0.0,0.0,0.0,0.0,0.0,0.0
