,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.32639295,0.0,0.2775294,0.0,0.0,0.0,0.37873772,0.0,0.35288504,0.35138848,0.0,0.3248116,0.38159057,0.0,0.0,0.3908169,0.37449583,0.0,0.0,0.252482,0.0,0.35965058,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.30866304,0.36835983,0.385736,0.0,0.0,0.0,0.0,0.0,0.0,0.28437635,0.0,0.0,0.0,0.0,0.37992284,0.33155885,0.0,0.30593517,0.32368502,0.0,0.0,0.0,0.0,0.28812692,0.37152165
uncultured,0.0,0.30866304,0.0,0.3703124,0.0,0.0,0.0,0.3401888,0.0,0.38227496,0.0,0.0,0.0,0.0,0.0,0.0,0.3751229,0.33503136,0.39972943,0.0,0.36861277,0.36824292,0.0,0.0,0.34122157,0.398674,0.0
UnclassifiedFamily,0.32639295,0.36835983,0.3703124,0.0,0.304008,0.26582858,0.2928403,0.0,0.0,0.3672273,0.0,0.0,0.0,0.3999602,0.30240843,0.0,0.0,0.3959969,0.0,0.0,0.34260467,0.0,0.0,0.30875716,0.0,0.3651546,0.0
Aminicenantales,0.0,0.385736,0.0,0.304008,0.0,0.3727047,0.38587978,0.0,0.0,0.0,0.0,0.0,0.0,0.3215673,0.0,0.0,0.29306912,0.36153474,0.0,0.0,0.3427994,0.37079906,0.0,0.0,0.0,0.0,0.35406503
Rikenellaceae,0.2775294,0.0,0.0,0.26582858,0.3727047,0.0,0.0,0.0,0.0,0.28667426,0.0,0.0,0.38895616,0.0,0.33431304,0.0,0.0,0.35368305,0.3404763,0.0,0.36997125,0.0,0.36617234,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.2928403,0.38587978,0.0,0.0,0.0,0.0,0.3015324,0.0,0.0,0.0,0.37306035,0.0,0.33810884,0.2677334,0.0,0.36915803,0.0,0.33982623,0.0,0.0,0.39355987,0.0,0.0,0.27744287
JS1,0.0,0.0,0.3401888,0.0,0.0,0.0,0.0,0.0,0.34870246,0.31134042,0.28634673,0.32435417,0.35201445,0.0,0.0,0.37658778,0.28698808,0.0,0.32627183,0.34367862,0.0,0.32955274,0.2876216,0.0,0.32927254,0.0,0.3733948
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34870246,0.0,0.3616004,0.3364057,0.0,0.0,0.0,0.0,0.0,0.39430404,0.3499285,0.28580892,0.0,0.35507137,0.0,0.34717304,0.31508058,0.39619395,0.2935281,0.0
Cloacimonadaceae,0.37873772,0.0,0.38227496,0.3672273,0.0,0.28667426,0.3015324,0.31134042,0.3616004,0.0,0.3393271,0.2277537,0.35997716,0.37473407,0.37767255,0.36294538,0.2585782,0.39358386,0.3698884,0.357025,0.2453598,0.355819,0.0,0.3750918,0.33173546,0.3206704,0.29129195
