,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.29271615,0.0,0.25574642,0.0,0.0,0.0,0.31857133,0.0,0.33315244,0.2330694,0.0,0.33750644,0.30798927,0.0,0.0,0.2639868,0.25734416,0.0,0.0,0.23507847,0.0,0.30321175,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.2672035,0.29405957,0.2308375,0.0,0.0,0.0,0.0,0.0,0.0,0.32148433,0.0,0.0,0.0,0.0,0.29415414,0.29239932,0.0,0.33387467,0.34188393,0.0,0.0,0.0,0.0,0.2182739,0.33765486
uncultured,0.0,0.2672035,0.0,0.26231667,0.0,0.0,0.0,0.2781734,0.0,0.2297857,0.0,0.0,0.0,0.0,0.0,0.0,0.2855226,0.29988787,0.24620122,0.0,0.2914255,0.30312788,0.0,0.0,0.3237661,0.29855004,0.0
UnclassifiedFamily,0.29271615,0.29405957,0.26231667,0.0,0.28807196,0.312896,0.3274926,0.0,0.0,0.29575208,0.0,0.0,0.0,0.34293774,0.23962632,0.0,0.0,0.29327312,0.0,0.0,0.27859196,0.0,0.0,0.2994127,0.0,0.33191216,0.0
Aminicenantales,0.0,0.2308375,0.0,0.28807196,0.0,0.30535105,0.25643727,0.0,0.0,0.0,0.0,0.0,0.0,0.33795658,0.0,0.0,0.33572346,0.25474536,0.0,0.0,0.32521173,0.2815198,0.0,0.0,0.0,0.0,0.2688801
Rikenellaceae,0.25574642,0.0,0.0,0.312896,0.30535105,0.0,0.0,0.0,0.0,0.30865234,0.0,0.0,0.33943033,0.0,0.22221476,0.0,0.0,0.3174602,0.2913233,0.0,0.22872998,0.0,0.34067085,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.3274926,0.25643727,0.0,0.0,0.0,0.0,0.22922702,0.0,0.0,0.0,0.28148192,0.0,0.31599313,0.32280207,0.0,0.33922642,0.0,0.27412117,0.0,0.0,0.24221498,0.0,0.0,0.2822508
JS1,0.0,0.0,0.2781734,0.0,0.0,0.0,0.0,0.0,0.29060116,0.2802473,0.23155114,0.30299756,0.3300264,0.0,0.0,0.30496016,0.27544817,0.0,0.34286103,0.31336084,0.0,0.22111373,0.3382482,0.0,0.34026662,0.0,0.29492036
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29060116,0.0,0.30990937,0.21872133,0.0,0.0,0.0,0.0,0.0,0.3282908,0.29214716,0.2716943,0.0,0.32281578,0.0,0.26638216,0.3247202,0.28508273,0.28764364,0.0
Cloacimonadaceae,0.31857133,0.0,0.2297857,0.29575208,0.0,0.30865234,0.22922702,0.2802473,0.30990937,0.0,0.2844978,0.26222053,0.23893003,0.3424472,0.27317747,0.23809673,0.3155369,0.27863765,0.2037238,0.25042164,0.29967186,0.23638839,0.0,0.23913059,0.31988224,0.29916894,0.2089754
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23155114,0.21872133,0.2844978,0.0,0.33405152,0.33346182,0.0,0.0,0.2897392,0.2595137,0.0,0.27936527,0.30633476,0.0,0.31802857,0.30127624,0.0,0.28351864,0.0,0.26830935
