,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.336715,0.0,0.32813355,0.0,0.0,0.0,0.45474002,0.0,0.3599952,0.4431259,0.0,0.37862495,0.33582872,0.0,0.0,0.42960253,0.3055604,0.0,0.0,0.39437252,0.0,0.44512272,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.44939786,0.39268458,0.3640598,0.0,0.0,0.0,0.0,0.0,0.0,0.39276603,0.0,0.0,0.0,0.0,0.3267649,0.28458384,0.0,0.4061309,0.3509066,0.0,0.0,0.0,0.0,0.40525797,0.38383526
uncultured,0.0,0.44939786,0.0,0.3479235,0.0,0.0,0.0,0.36558223,0.0,0.40092012,0.0,0.0,0.0,0.0,0.0,0.0,0.39064825,0.31419235,0.2966458,0.0,0.3881401,0.29042646,0.0,0.0,0.36164135,0.30153704,0.0
UnclassifiedFamily,0.336715,0.39268458,0.3479235,0.0,0.36971456,0.4483438,0.29257476,0.0,0.0,0.4438386,0.0,0.0,0.0,0.43251577,0.40698016,0.0,0.0,0.43535453,0.0,0.0,0.41240755,0.0,0.0,0.4055192,0.0,0.3910674,0.0
Aminicenantales,0.0,0.3640598,0.0,0.36971456,0.0,0.43081203,0.41281465,0.0,0.0,0.0,0.0,0.0,0.0,0.44917038,0.0,0.0,0.28667274,0.3393844,0.0,0.0,0.32570344,0.40211987,0.0,0.0,0.0,0.0,0.38002414
Rikenellaceae,0.32813355,0.0,0.0,0.4483438,0.43081203,0.0,0.0,0.0,0.0,0.37825677,0.0,0.0,0.3106953,0.0,0.4467454,0.0,0.0,0.43211186,0.41524735,0.0,0.40692297,0.0,0.39885098,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.29257476,0.41281465,0.0,0.0,0.0,0.0,0.3667065,0.0,0.0,0.0,0.45569685,0.0,0.45504773,0.38128203,0.0,0.27138755,0.0,0.35547456,0.0,0.0,0.4288727,0.0,0.0,0.4353777
JS1,0.0,0.0,0.36558223,0.0,0.0,0.0,0.0,0.0,0.4293901,0.3394466,0.42660022,0.42761084,0.35908094,0.0,0.0,0.38734782,0.44926772,0.0,0.36867744,0.42589134,0.0,0.32453504,0.45795828,0.0,0.4199577,0.0,0.397619
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293901,0.0,0.28664908,0.3742837,0.0,0.0,0.0,0.0,0.0,0.45760286,0.31577265,0.4177394,0.0,0.39754295,0.0,0.43904284,0.44141075,0.41567948,0.44053286,0.0
Cloacimonadaceae,0.45474002,0.0,0.40092012,0.4438386,0.0,0.37825677,0.3667065,0.3394466,0.28664908,0.0,0.3880025,0.4289618,0.4379594,0.42300224,0.3962953,0.41221988,0.4406963,0.39859167,0.3184635,0.4446542,0.39660725,0.35631132,0.0,0.34681657,0.45413297,0.33225662,0.31164873
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42660022,0.3742837,0.3880025,0.0,0.42748016,0.2695809,0.0,0.0,0.34682468,0.44402152,0.0,0.4142205,0.41657242,0.0,0.3029949,0.4052871,0.0,0.385502,0.0,0.35236448
SAR324_clade(Marine_group_B),0.3599952,0.39276603,0.0,0.0,0.0,0.0,0.0,0.42761084,0.0,0.4289618,0.42748016,0.0,0.30034328,0.0,0.0,0.4190597,0.39349332,0.0,0.0,0.45612255,0.0,0.0,0.39584664,0.0,0.0,0.0,0.3639103
Syntrophobacteraceae,0.4431259,0.0,0.0,0.0,0.0,0.3106953,0.0,0.35908094,0.0,0.4379594,0.2695809,0.30034328,0.0,0.38955507,0.4546809,0.0,0.38769034,0.0,0.0,0.36390656,0.0,0.41529247,0.39671478,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.43251577,0.44917038,0.0,0.45569685,0.0,0.0,0.42300224,0.0,0.0,0.38955507,0.0,0.0,0.4132513,0.0,0.0,0.0,0.0,0.31788978,0.0,0.0,0.35279042,0.4049033,0.43099263,0.33621708
Gracilibacteraceae,0.37862495,0.0,0.0,0.40698016,0.0,0.4467454,0.0,0.0,0.0,0.3962953,0.0,0.0,0.4546809,0.0,0.0,0.43578634,0.0,0.0,0.41738427,0.0,0.41032442,0.0,0.4501936,0.3616117,0.0,0.0,0.0
