,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.42403933,0.0,0.4109708,0.0,0.0,0.0,0.37384862,0.0,0.42205495,0.34867543,0.0,0.36470526,0.41224253,0.0,0.0,0.37677398,0.39871025,0.0,0.0,0.42759576,0.0,0.42639393,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.28555086,0.42359105,0.37199637,0.0,0.0,0.0,0.0,0.0,0.0,0.27975282,0.0,0.0,0.0,0.0,0.35764387,0.40094054,0.0,0.38850802,0.40165523,0.0,0.0,0.0,0.0,0.31397647,0.28917995
uncultured,0.0,0.28555086,0.0,0.36814508,0.0,0.0,0.0,0.25363585,0.0,0.37864032,0.0,0.0,0.0,0.0,0.0,0.0,0.37680283,0.4022706,0.31422782,0.0,0.32486597,0.39172557,0.0,0.0,0.31447223,0.40979144,0.0
UnclassifiedFamily,0.42403933,0.42359105,0.36814508,0.0,0.39058527,0.38036415,0.3186268,0.0,0.0,0.4257883,0.0,0.0,0.0,0.29729033,0.32779485,0.0,0.0,0.41476253,0.0,0.0,0.41590804,0.0,0.0,0.28209093,0.0,0.38268757,0.0
Aminicenantales,0.0,0.37199637,0.0,0.39058527,0.0,0.32667834,0.42407823,0.0,0.0,0.0,0.0,0.0,0.0,0.39863768,0.0,0.0,0.358866,0.36286536,0.0,0.0,0.34481418,0.39115825,0.0,0.0,0.0,0.0,0.300571
Rikenellaceae,0.4109708,0.0,0.0,0.38036415,0.32667834,0.0,0.0,0.0,0.0,0.39220157,0.0,0.0,0.38890716,0.0,0.3649867,0.0,0.0,0.3960191,0.30308846,0.0,0.2981701,0.0,0.38620675,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.3186268,0.42407823,0.0,0.0,0.0,0.0,0.3711362,0.0,0.0,0.0,0.27978438,0.0,0.3843738,0.3034804,0.0,0.40970874,0.0,0.38240513,0.0,0.0,0.29627088,0.0,0.0,0.37466827
JS1,0.0,0.0,0.25363585,0.0,0.0,0.0,0.0,0.0,0.2975188,0.37741083,0.39771244,0.38395935,0.36990348,0.0,0.0,0.36778444,0.42266467,0.0,0.289018,0.33312923,0.0,0.37648574,0.396262,0.0,0.3673419,0.0,0.39644012
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975188,0.0,0.42009112,0.33429554,0.0,0.0,0.0,0.0,0.0,0.3917935,0.34374544,0.41525197,0.0,0.3072189,0.0,0.3289105,0.30558246,0.4025814,0.35858357,0.0
Cloacimonadaceae,0.37384862,0.0,0.37864032,0.4257883,0.0,0.39220157,0.3711362,0.37741083,0.42009112,0.0,0.3061658,0.40741608,0.3375324,0.29711315,0.38113478,0.31473675,0.37470323,0.29158115,0.3278486,0.3308664,0.3047453,0.42099693,0.0,0.34419152,0.3915347,0.2946663,0.3834593
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39771244,0.33429554,0.3061658,0.0,0.30909866,0.4170691,0.0,0.0,0.36592767,0.35516348,0.0,0.38833603,0.36764824,0.0,0.3788727,0.38567483,0.0,0.39652523,0.0,0.41502
SAR324_clade(Marine_group_B),0.42205495,0.27975282,0.0,0.0,0.0,0.0,0.0,0.38395935,0.0,0.40741608,0.30909866,0.0,0.28013137,0.0,0.0,0.36976177,0.40841767,0.0,0.0,0.38727358,0.0,0.0,0.30320212,0.0,0.0,0.0,0.27765346
Syntrophobacteraceae,0.34867543,0.0,0.0,0.0,0.0,0.38890716,0.0,0.36990348,0.0,0.3375324,0.4170691,0.28013137,0.0,0.41653278,0.38548285,0.0,0.38634312,0.0,0.0,0.4217965,0.0,0.39543658,0.3181186,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.29729033,0.39863768,0.0,0.27978438,0.0,0.0,0.29711315,0.0,0.0,0.41653278,0.0,0.0,0.34638762,0.0,0.0,0.0,0.0,0.39376044,0.0,0.0,0.38085076,0.2409193,0.37452808,0.41519067
Gracilibacteraceae,0.36470526,0.0,0.0,0.32779485,0.0,0.3649867,0.0,0.0,0.0,0.38113478,0.0,0.0,0.38548285,0.0,0.0,0.33289212,0.0,0.0,0.35142347,0.0,0.37924635,0.0,0.2767028,0.35516685,0.0,0.0,0.0
Bacteroidetes_vadinHA17,0.41224253,0.0,0.0,0.0,0.0,0.0,0.3843738,0.36778444,0.0,0.31473675,0.36592767,0.36976177,0.0,0.34638762,0.33289212,0.0,0.297414,0.0,0.0,0.38795152,0.0,0.0,0.33279455,0.39265406,0.0,0.0,0.4091548
