,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.42520705,0.0,0.45803386,0.0,0.0,0.0,0.41620862,0.0,0.42170143,0.31835264,0.0,0.40761,0.45679027,0.0,0.0,0.2997137,0.40677118,0.0,0.0,0.44767597,0.0,0.4536213,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.37791154,0.43172505,0.3401008,0.0,0.0,0.0,0.0,0.0,0.0,0.3796115,0.0,0.0,0.0,0.0,0.3992788,0.39472222,0.0,0.3573567,0.3769568,0.0,0.0,0.0,0.0,0.2931695,0.45579892
uncultured,0.0,0.37791154,0.0,0.43036768,0.0,0.0,0.0,0.361526,0.0,0.38956988,0.0,0.0,0.0,0.0,0.0,0.0,0.27277708,0.3437635,0.449379,0.0,0.4166358,0.34325594,0.0,0.0,0.4583726,0.33812717,0.0
UnclassifiedFamily,0.42520705,0.43172505,0.43036768,0.0,0.34519276,0.4402773,0.44478896,0.0,0.0,0.3282498,0.0,0.0,0.0,0.44221538,0.33492735,0.0,0.0,0.33422357,0.0,0.0,0.3840183,0.0,0.0,0.2648464,0.0,0.35434932,0.0
Aminicenantales,0.0,0.3401008,0.0,0.34519276,0.0,0.41526982,0.40659848,0.0,0.0,0.0,0.0,0.0,0.0,0.29331303,0.0,0.0,0.29714918,0.36739165,0.0,0.0,0.38436973,0.35783187,0.0,0.0,0.0,0.0,0.330683
Rikenellaceae,0.45803386,0.0,0.0,0.4402773,0.41526982,0.0,0.0,0.0,0.0,0.42303413,0.0,0.0,0.29670307,0.0,0.4520463,0.0,0.0,0.34930074,0.37644038,0.0,0.45707157,0.0,0.43452948,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.44478896,0.40659848,0.0,0.0,0.0,0.0,0.4547789,0.0,0.0,0.0,0.4105081,0.0,0.39302236,0.29023862,0.0,0.35748604,0.0,0.40216017,0.0,0.0,0.39983654,0.0,0.0,0.38557145
JS1,0.0,0.0,0.361526,0.0,0.0,0.0,0.0,0.0,0.30725154,0.43062598,0.31322828,0.30986747,0.39608526,0.0,0.0,0.43122482,0.41274223,0.0,0.41685078,0.40178034,0.0,0.32976422,0.4144797,0.0,0.31432444,0.0,0.45921928
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30725154,0.0,0.35046676,0.45807824,0.0,0.0,0.0,0.0,0.0,0.377997,0.33160233,0.38452083,0.0,0.40298945,0.0,0.36725754,0.41573834,0.35927063,0.44600394,0.0
Cloacimonadaceae,0.41620862,0.0,0.38956988,0.3282498,0.0,0.42303413,0.4547789,0.43062598,0.35046676,0.0,0.45636442,0.40834522,0.3821823,0.4103955,0.37050614,0.38836724,0.45875812,0.41266719,0.43014866,0.45371643,0.45404187,0.36515364,0.0,0.406051,0.41541442,0.35634595,0.3430335
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31322828,0.45807824,0.45636442,0.0,0.33904365,0.390609,0.0,0.0,0.27861166,0.40742466,0.0,0.38424703,0.3355894,0.0,0.4379439,0.2976868,0.0,0.44639593,0.0,0.4071955
