,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.4543227,0.0,0.40291592,0.0,0.0,0.0,0.39784342,0.0,0.33182752,0.44376945,0.0,0.40755245,0.37845016,0.0,0.0,0.37156108,0.32490847,0.0,0.0,0.34959942,0.0,0.3770365,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.41932815,0.45331192,0.31346714,0.0,0.0,0.0,0.0,0.0,0.0,0.4248919,0.0,0.0,0.0,0.0,0.40656245,0.3293119,0.0,0.38454565,0.29094508,0.0,0.0,0.0,0.0,0.2677298,0.40422475
uncultured,0.0,0.41932815,0.0,0.42538497,0.0,0.0,0.0,0.39757028,0.0,0.40179497,0.0,0.0,0.0,0.0,0.0,0.0,0.4095293,0.34810337,0.35950568,0.0,0.38886738,0.4242377,0.0,0.0,0.4271601,0.44320077,0.0
UnclassifiedFamily,0.4543227,0.45331192,0.42538497,0.0,0.41229817,0.41354826,0.42449182,0.0,0.0,0.38118768,0.0,0.0,0.0,0.39607,0.43143162,0.0,0.0,0.27166948,0.0,0.0,0.4203813,0.0,0.0,0.45419767,0.0,0.3366919,0.0
Aminicenantales,0.0,0.31346714,0.0,0.41229817,0.0,0.43813083,0.3641391,0.0,0.0,0.0,0.0,0.0,0.0,0.35181203,0.0,0.0,0.38638604,0.4360898,0.0,0.0,0.4160501,0.3408179,0.0,0.0,0.0,0.0,0.45758444
Rikenellaceae,0.40291592,0.0,0.0,0.41354826,0.43813083,0.0,0.0,0.0,0.0,0.4286598,0.0,0.0,0.42155147,0.0,0.40409508,0.0,0.0,0.3190165,0.3893892,0.0,0.3781889,0.0,0.4520671,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.42449182,0.3641391,0.0,0.0,0.0,0.0,0.37240624,0.0,0.0,0.0,0.44094175,0.0,0.39921746,0.31269628,0.0,0.45328498,0.0,0.39135987,0.0,0.0,0.374863,0.0,0.0,0.4238548
JS1,0.0,0.0,0.39757028,0.0,0.0,0.0,0.0,0.0,0.30514413,0.39710522,0.44824374,0.45149314,0.34470397,0.0,0.0,0.35866532,0.4521436,0.0,0.27889904,0.41234022,0.0,0.3293131,0.45487943,0.0,0.4594291,0.0,0.41913062
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30514413,0.0,0.44416103,0.35612637,0.0,0.0,0.0,0.0,0.0,0.3741953,0.4447669,0.31258562,0.0,0.30325234,0.0,0.43888825,0.3984436,0.44839165,0.42866838,0.0
Cloacimonadaceae,0.39784342,0.0,0.40179497,0.38118768,0.0,0.4286598,0.37240624,0.39710522,0.44416103,0.0,0.37501967,0.41564676,0.44459158,0.35749462,0.4370318,0.37902173,0.41401458,0.34281278,0.43828133,0.33459476,0.42190826,0.3192813,0.0,0.37796158,0.308257,0.39982095,0.33477846
