,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.32010317,0.0,0.3872465,0.0,0.0,0.0,0.28663814,0.0,0.39448202,0.35748705,0.0,0.34446192,0.3439568,0.0,0.0,0.4045141,0.41840413,0.0,0.0,0.43264458,0.0,0.39224377,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.43707976,0.31136626,0.34357432,0.0,0.0,0.0,0.0,0.0,0.0,0.3277177,0.0,0.0,0.0,0.0,0.41000316,0.42588,0.0,0.26578638,0.3202426,0.0,0.0,0.0,0.0,0.4483028,0.38797346
uncultured,0.0,0.43707976,0.0,0.43767738,0.0,0.0,0.0,0.41638362,0.0,0.2907387,0.0,0.0,0.0,0.0,0.0,0.0,0.41573164,0.4290821,0.3661968,0.0,0.4136012,0.39223802,0.0,0.0,0.45284957,0.4368514,0.0
UnclassifiedFamily,0.32010317,0.31136626,0.43767738,0.0,0.45034274,0.29587787,0.36488917,0.0,0.0,0.40594482,0.0,0.0,0.0,0.3431874,0.43711558,0.0,0.0,0.3769635,0.0,0.0,0.37248966,0.0,0.0,0.37882066,0.0,0.3834678,0.0
Aminicenantales,0.0,0.34357432,0.0,0.45034274,0.0,0.43110737,0.39300588,0.0,0.0,0.0,0.0,0.0,0.0,0.3898089,0.0,0.0,0.3467141,0.35020596,0.0,0.0,0.40888378,0.45342475,0.0,0.0,0.0,0.0,0.4373228
Rikenellaceae,0.3872465,0.0,0.0,0.29587787,0.43110737,0.0,0.0,0.0,0.0,0.386109,0.0,0.0,0.3008762,0.0,0.3558375,0.0,0.0,0.39623272,0.44870222,0.0,0.32278666,0.0,0.43240622,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.36488917,0.39300588,0.0,0.0,0.0,0.0,0.39957756,0.0,0.0,0.0,0.40505686,0.0,0.44073278,0.32360467,0.0,0.30520988,0.0,0.45766178,0.0,0.0,0.44589674,0.0,0.0,0.4564183
JS1,0.0,0.0,0.41638362,0.0,0.0,0.0,0.0,0.0,0.3795413,0.42965007,0.39701653,0.26572758,0.43729144,0.0,0.0,0.45750788,0.348954,0.0,0.40962914,0.39416713,0.0,0.27688617,0.4325718,0.0,0.4023537,0.0,0.33069828
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795413,0.0,0.43690518,0.4495659,0.0,0.0,0.0,0.0,0.0,0.38127804,0.38313046,0.43130872,0.0,0.29356903,0.0,0.4415593,0.39404312,0.40868032,0.45405707,0.0
Cloacimonadaceae,0.28663814,0.0,0.2907387,0.40594482,0.0,0.386109,0.39957756,0.42965007,0.43690518,0.0,0.38820946,0.34438905,0.44291985,0.30173966,0.36569542,0.411116,0.33346573,0.38603544,0.3411375,0.44172138,0.3128154,0.29393175,0.0,0.4488434,0.36496708,0.33498394,0.29517674
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39701653,0.4495659,0.38820946,0.0,0.3818408,0.33252016,0.0,0.0,0.28436387,0.43548164,0.0,0.36896986,0.33218557,0.0,0.37868834,0.3482414,0.0,0.42157656,0.0,0.29128185
