,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.4370898,0.0,0.3883796,0.0,0.0,0.0,0.41171858,0.0,0.41912955,0.313111,0.0,0.43479803,0.4308357,0.0,0.0,0.36511153,0.43771362,0.0,0.0,0.38729423,0.0,0.41865647,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.40344048,0.44273216,0.36853,0.0,0.0,0.0,0.0,0.0,0.0,0.41299218,0.0,0.0,0.0,0.0,0.43662933,0.44015667,0.0,0.37822843,0.44676068,0.0,0.0,0.0,0.0,0.35966697,0.45774832
uncultured,0.0,0.40344048,0.0,0.31000495,0.0,0.0,0.0,0.44259778,0.0,0.35931325,0.0,0.0,0.0,0.0,0.0,0.0,0.41256994,0.3866852,0.3806948,0.0,0.43199626,0.38486552,0.0,0.0,0.43358338,0.30165583,0.0
UnclassifiedFamily,0.4370898,0.44273216,0.31000495,0.0,0.44397485,0.3483845,0.41309476,0.0,0.0,0.43817472,0.0,0.0,0.0,0.42855516,0.37647524,0.0,0.0,0.420221,0.0,0.0,0.36448127,0.0,0.0,0.34530878,0.0,0.4355996,0.0
Aminicenantales,0.0,0.36853,0.0,0.44397485,0.0,0.3331581,0.37160197,0.0,0.0,0.0,0.0,0.0,0.0,0.411766,0.0,0.0,0.370103,0.32582867,0.0,0.0,0.35353824,0.43007034,0.0,0.0,0.0,0.0,0.3702536
Rikenellaceae,0.3883796,0.0,0.0,0.3483845,0.3331581,0.0,0.0,0.0,0.0,0.42238155,0.0,0.0,0.31967908,0.0,0.32360697,0.0,0.0,0.3101238,0.41728085,0.0,0.28270873,0.0,0.4208049,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.41309476,0.37160197,0.0,0.0,0.0,0.0,0.42784634,0.0,0.0,0.0,0.42592707,0.0,0.39407712,0.40226898,0.0,0.43286502,0.0,0.41013485,0.0,0.0,0.41004848,0.0,0.0,0.30753717
JS1,0.0,0.0,0.44259778,0.0,0.0,0.0,0.0,0.0,0.3500382,0.41007975,0.42239085,0.44327015,0.45028278,0.0,0.0,0.40978047,0.32411423,0.0,0.4395157,0.45388028,0.0,0.34386352,0.43160984,0.0,0.4232455,0.0,0.44686833
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500382,0.0,0.2943772,0.40830728,0.0,0.0,0.0,0.0,0.0,0.44088942,0.36739025,0.3975357,0.0,0.38744795,0.0,0.42900205,0.3031216,0.43484524,0.37377444,0.0
Cloacimonadaceae,0.41171858,0.0,0.35931325,0.43817472,0.0,0.42238155,0.42784634,0.41007975,0.2943772,0.0,0.3887628,0.33943963,0.40410113,0.3721939,0.3513714,0.42640147,0.35142374,0.37239385,0.35436043,0.44407055,0.27854443,0.3970465,0.0,0.41087693,0.36155006,0.3903946,0.32727537
