,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.39483327,0.0,0.42200425,0.0,0.0,0.0,0.40464842,0.0,0.4534012,0.44320938,0.0,0.42452556,0.42019445,0.0,0.0,0.36805186,0.29904157,0.0,0.0,0.43512195,0.0,0.45783865,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.42777318,0.39105207,0.38557798,0.0,0.0,0.0,0.0,0.0,0.0,0.3735375,0.0,0.0,0.0,0.0,0.44490486,0.38483074,0.0,0.4582902,0.30986407,0.0,0.0,0.0,0.0,0.35472202,0.42348382
uncultured,0.0,0.42777318,0.0,0.37333393,0.0,0.0,0.0,0.3479921,0.0,0.412997,0.0,0.0,0.0,0.0,0.0,0.0,0.43747684,0.38364387,0.440842,0.0,0.45411596,0.39425567,0.0,0.0,0.45734707,0.35149103,0.0
UnclassifiedFamily,0.39483327,0.39105207,0.37333393,0.0,0.3385234,0.3953308,0.38085097,0.0,0.0,0.36278614,0.0,0.0,0.0,0.41987956,0.3480365,0.0,0.0,0.45251152,0.0,0.0,0.42679185,0.0,0.0,0.45924184,0.0,0.35408318,0.0
Aminicenantales,0.0,0.38557798,0.0,0.3385234,0.0,0.4236984,0.32527775,0.0,0.0,0.0,0.0,0.0,0.0,0.3852609,0.0,0.0,0.33498302,0.38165358,0.0,0.0,0.42188582,0.3742885,0.0,0.0,0.0,0.0,0.26783127
Rikenellaceae,0.42200425,0.0,0.0,0.3953308,0.4236984,0.0,0.0,0.0,0.0,0.44050476,0.0,0.0,0.40597603,0.0,0.35066,0.0,0.0,0.34836158,0.36335573,0.0,0.3300638,0.0,0.45399702,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.38085097,0.32527775,0.0,0.0,0.0,0.0,0.45499238,0.0,0.0,0.0,0.44790938,0.0,0.42755315,0.42310616,0.0,0.43644813,0.0,0.38667375,0.0,0.0,0.43393102,0.0,0.0,0.29132938
JS1,0.0,0.0,0.3479921,0.0,0.0,0.0,0.0,0.0,0.38925627,0.3047506,0.39944863,0.36239877,0.30948004,0.0,0.0,0.35966402,0.41183186,0.0,0.45100626,0.31700656,0.0,0.36764768,0.29318944,0.0,0.33347857,0.0,0.45274246
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38925627,0.0,0.40011668,0.43741554,0.0,0.0,0.0,0.0,0.0,0.4062403,0.3776137,0.45757106,0.0,0.360264,0.0,0.41800958,0.43809748,0.32739028,0.40354556,0.0
Cloacimonadaceae,0.40464842,0.0,0.412997,0.36278614,0.0,0.44050476,0.45499238,0.3047506,0.40011668,0.0,0.439542,0.41176385,0.34634316,0.3119873,0.448739,0.3549043,0.41476226,0.39751545,0.41995567,0.42866337,0.43463403,0.40996814,0.0,0.42879862,0.404968,0.4031922,0.40406254
