,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.45446345,0.0,0.4327347,0.0,0.0,0.0,0.27303904,0.0,0.41156107,0.3013538,0.0,0.45944554,0.37785596,0.0,0.0,0.43239605,0.39895135,0.0,0.0,0.41741243,0.0,0.3426083,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.4373785,0.44810998,0.4224528,0.0,0.0,0.0,0.0,0.0,0.0,0.36621913,0.0,0.0,0.0,0.0,0.37418592,0.45104113,0.0,0.4153243,0.42528072,0.0,0.0,0.0,0.0,0.3443168,0.27325833
uncultured,0.0,0.4373785,0.0,0.4416688,0.0,0.0,0.0,0.4119504,0.0,0.41621017,0.0,0.0,0.0,0.0,0.0,0.0,0.38254678,0.33172867,0.42872456,0.0,0.37795436,0.370027,0.0,0.0,0.31495988,0.31791002,0.0
UnclassifiedFamily,0.45446345,0.44810998,0.4416688,0.0,0.37017393,0.3133827,0.41892973,0.0,0.0,0.3085811,0.0,0.0,0.0,0.37704957,0.4570476,0.0,0.0,0.41388252,0.0,0.0,0.28230602,0.0,0.0,0.371863,0.0,0.4548413,0.0
Aminicenantales,0.0,0.4224528,0.0,0.37017393,0.0,0.38828418,0.3667067,0.0,0.0,0.0,0.0,0.0,0.0,0.42218834,0.0,0.0,0.32427698,0.44764856,0.0,0.0,0.4580906,0.43739426,0.0,0.0,0.0,0.0,0.4470107
Rikenellaceae,0.4327347,0.0,0.0,0.3133827,0.38828418,0.0,0.0,0.0,0.0,0.29609257,0.0,0.0,0.44584492,0.0,0.35480434,0.0,0.0,0.42141026,0.4366475,0.0,0.39239347,0.0,0.3866918,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.41892973,0.3667067,0.0,0.0,0.0,0.0,0.33578834,0.0,0.0,0.0,0.3791175,0.0,0.43804857,0.4530624,0.0,0.38890162,0.0,0.36240116,0.0,0.0,0.3805208,0.0,0.0,0.40427268
JS1,0.0,0.0,0.4119504,0.0,0.0,0.0,0.0,0.0,0.29944286,0.44106695,0.28741574,0.41410792,0.36958385,0.0,0.0,0.3682862,0.45134947,0.0,0.26447105,0.39824718,0.0,0.36704198,0.38302526,0.0,0.3664571,0.0,0.41276634
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29944286,0.0,0.38880393,0.40513653,0.0,0.0,0.0,0.0,0.0,0.41018242,0.42185068,0.41108295,0.0,0.39674172,0.0,0.3711917,0.36508495,0.3979732,0.44682088,0.0
Cloacimonadaceae,0.27303904,0.0,0.41621017,0.3085811,0.0,0.29609257,0.33578834,0.44106695,0.38880393,0.0,0.39147538,0.4016725,0.38092577,0.42941108,0.44646284,0.327089,0.4198557,0.30885562,0.31164786,0.40628332,0.390493,0.35077688,0.0,0.45917112,0.38035852,0.43869278,0.40717232
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28741574,0.40513653,0.39147538,0.0,0.43180746,0.42352152,0.0,0.0,0.3859729,0.44412404,0.0,0.44164547,0.3547716,0.0,0.34121624,0.32833788,0.0,0.41983023,0.0,0.34620836
SAR324_clade(Marine_group_B),0.41156107,0.36621913,0.0,0.0,0.0,0.0,0.0,0.41410792,0.0,0.4016725,0.43180746,0.0,0.33808538,0.0,0.0,0.41790572,0.4355276,0.0,0.0,0.32439023,0.0,0.0,0.34769985,0.0,0.0,0.0,0.37115973
Syntrophobacteraceae,0.3013538,0.0,0.0,0.0,0.0,0.44584492,0.0,0.36958385,0.0,0.38092577,0.42352152,0.33808538,0.0,0.45609128,0.44591868,0.0,0.43822083,0.0,0.0,0.42789695,0.0,0.3431942,0.3541918,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.37704957,0.42218834,0.0,0.3791175,0.0,0.0,0.42941108,0.0,0.0,0.45609128,0.0,0.0,0.42275026,0.0,0.0,0.0,0.0,0.32255447,0.0,0.0,0.3369011,0.3963688,0.4388606,0.4311444
Gracilibacteraceae,0.45944554,0.0,0.0,0.4570476,0.0,0.35480434,0.0,0.0,0.0,0.44646284,0.0,0.0,0.44591868,0.0,0.0,0.44406113,0.0,0.0,0.45098725,0.0,0.37734762,0.0,0.41767848,0.27553043,0.0,0.0,0.0
