,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.3002472,0.0,0.28040734,0.0,0.0,0.0,0.27900293,0.0,0.24202324,0.22648162,0.0,0.3081534,0.28867579,0.0,0.0,0.26248255,0.31048274,0.0,0.0,0.31178004,0.0,0.30942738,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.27654067,0.2238,0.28128558,0.0,0.0,0.0,0.0,0.0,0.0,0.25257516,0.0,0.0,0.0,0.0,0.21764845,0.29918474,0.0,0.30250213,0.2283754,0.0,0.0,0.0,0.0,0.26767585,0.2806104
uncultured,0.0,0.27654067,0.0,0.1933657,0.0,0.0,0.0,0.26596743,0.0,0.23919113,0.0,0.0,0.0,0.0,0.0,0.0,0.29493445,0.2798839,0.26282015,0.0,0.20108524,0.28354886,0.0,0.0,0.24955073,0.1903178,0.0
UnclassifiedFamily,0.3002472,0.2238,0.1933657,0.0,0.30592707,0.1954882,0.2510854,0.0,0.0,0.18963146,0.0,0.0,0.0,0.2826517,0.23088668,0.0,0.0,0.30800787,0.0,0.0,0.17909156,0.0,0.0,0.2392039,0.0,0.26043552,0.0
Aminicenantales,0.0,0.28128558,0.0,0.30592707,0.0,0.28020787,0.2235348,0.0,0.0,0.0,0.0,0.0,0.0,0.25277603,0.0,0.0,0.23261477,0.24452226,0.0,0.0,0.31340945,0.24522834,0.0,0.0,0.0,0.0,0.2982695
Rikenellaceae,0.28040734,0.0,0.0,0.1954882,0.28020787,0.0,0.0,0.0,0.0,0.19475031,0.0,0.0,0.2954704,0.0,0.22814173,0.0,0.0,0.3094556,0.22898057,0.0,0.21637021,0.0,0.25865042,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.2510854,0.2235348,0.0,0.0,0.0,0.0,0.29260144,0.0,0.0,0.0,0.2886001,0.0,0.24741332,0.27260846,0.0,0.2551565,0.0,0.30987832,0.0,0.0,0.27121344,0.0,0.0,0.30085808
JS1,0.0,0.0,0.26596743,0.0,0.0,0.0,0.0,0.0,0.24987075,0.29813394,0.21942583,0.30953646,0.24296476,0.0,0.0,0.3121449,0.21709266,0.0,0.21067503,0.26246786,0.0,0.2567403,0.2807427,0.0,0.29885584,0.0,0.29621196
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24987075,0.0,0.3066134,0.2718271,0.0,0.0,0.0,0.0,0.0,0.31133616,0.30060327,0.30697802,0.0,0.2605583,0.0,0.29012975,0.23878819,0.2379796,0.24865809,0.0
Cloacimonadaceae,0.27900293,0.0,0.23919113,0.18963146,0.0,0.19475031,0.29260144,0.29813394,0.3066134,0.0,0.26361272,0.307215,0.2927604,0.27340567,0.27345705,0.28001973,0.2943943,0.20857836,0.30849206,0.30673704,0.24167264,0.29211852,0.0,0.2805386,0.29303277,0.2751911,0.2811092
