,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.4514785,0.0,0.39003307,0.0,0.0,0.0,0.3954233,0.0,0.43095034,0.33889022,0.0,0.4174747,0.41753936,0.0,0.0,0.4502771,0.32501528,0.0,0.0,0.31177977,0.0,0.3852868,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.37371555,0.37281105,0.44174004,0.0,0.0,0.0,0.0,0.0,0.0,0.4299224,0.0,0.0,0.0,0.0,0.30429596,0.42290384,0.0,0.33927777,0.45355973,0.0,0.0,0.0,0.0,0.43560207,0.3903304
uncultured,0.0,0.37371555,0.0,0.3206194,0.0,0.0,0.0,0.41446763,0.0,0.39909407,0.0,0.0,0.0,0.0,0.0,0.0,0.4349045,0.4270511,0.45539135,0.0,0.3427191,0.32720926,0.0,0.0,0.455916,0.2586605,0.0
UnclassifiedFamily,0.4514785,0.37281105,0.3206194,0.0,0.41275463,0.38233367,0.4329723,0.0,0.0,0.3470035,0.0,0.0,0.0,0.36651874,0.41743457,0.0,0.0,0.32177898,0.0,0.0,0.4344803,0.0,0.0,0.44760853,0.0,0.32679057,0.0
Aminicenantales,0.0,0.44174004,0.0,0.41275463,0.0,0.4593663,0.39951402,0.0,0.0,0.0,0.0,0.0,0.0,0.3583288,0.0,0.0,0.33541116,0.3899582,0.0,0.0,0.43512836,0.42518532,0.0,0.0,0.0,0.0,0.4007042
Rikenellaceae,0.39003307,0.0,0.0,0.38233367,0.4593663,0.0,0.0,0.0,0.0,0.39637482,0.0,0.0,0.37416542,0.0,0.44739252,0.0,0.0,0.38224527,0.36663067,0.0,0.3897324,0.0,0.4592688,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.4329723,0.39951402,0.0,0.0,0.0,0.0,0.3544495,0.0,0.0,0.0,0.37870437,0.0,0.42088118,0.39161068,0.0,0.45274994,0.0,0.31478316,0.0,0.0,0.330891,0.0,0.0,0.35654825
JS1,0.0,0.0,0.41446763,0.0,0.0,0.0,0.0,0.0,0.39723516,0.42739874,0.3830852,0.38719088,0.41079694,0.0,0.0,0.43949988,0.42489776,0.0,0.36457857,0.44382027,0.0,0.33931124,0.27842197,0.0,0.3096048,0.0,0.37323067
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39723516,0.0,0.44065148,0.27788264,0.0,0.0,0.0,0.0,0.0,0.39242226,0.4150002,0.35606784,0.0,0.34039065,0.0,0.45398137,0.4176958,0.42715582,0.35621387,0.0
Cloacimonadaceae,0.3954233,0.0,0.39909407,0.3470035,0.0,0.39637482,0.3544495,0.42739874,0.44065148,0.0,0.41530538,0.38564426,0.41948545,0.3523008,0.4024679,0.45135927,0.41880947,0.27639276,0.3975089,0.30492437,0.42598307,0.45154768,0.0,0.31921646,0.32773554,0.30061418,0.41310766
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3830852,0.27788264,0.41530538,0.0,0.3797801,0.35099435,0.0,0.0,0.29549634,0.318011,0.0,0.33955035,0.42293474,0.0,0.38730878,0.42325255,0.0,0.40600044,0.0,0.43925366
SAR324_clade(Marine_group_B),0.43095034,0.4299224,0.0,0.0,0.0,0.0,0.0,0.38719088,0.0,0.38564426,0.3797801,0.0,0.39851794,0.0,0.0,0.41989154,0.27211696,0.0,0.0,0.38858074,0.0,0.0,0.45159614,0.0,0.0,0.0,0.44173533
Syntrophobacteraceae,0.33889022,0.0,0.0,0.0,0.0,0.37416542,0.0,0.41079694,0.0,0.41948545,0.35099435,0.39851794,0.0,0.32140818,0.31930172,0.0,0.43967777,0.0,0.0,0.45823872,0.0,0.36672992,0.4439269,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.36651874,0.3583288,0.0,0.37870437,0.0,0.0,0.3523008,0.0,0.0,0.32140818,0.0,0.0,0.4214981,0.0,0.0,0.0,0.0,0.38099042,0.0,0.0,0.4498615,0.33092514,0.3069448,0.41556436
Gracilibacteraceae,0.4174747,0.0,0.0,0.41743457,0.0,0.44739252,0.0,0.0,0.0,0.4024679,0.0,0.0,0.31930172,0.0,0.0,0.33953667,0.0,0.0,0.45187414,0.0,0.39856884,0.0,0.43388605,0.39396358,0.0,0.0,0.0
Bacteroidetes_vadinHA17,0.41753936,0.0,0.0,0.0,0.0,0.0,0.42088118,0.43949988,0.0,0.45135927,0.29549634,0.41989154,0.0,0.4214981,0.33953667,0.0,0.28982025,0.0,0.0,0.44767436,0.0,0.0,0.37427026,0.421753,0.0,0.0,0.4562978
Syntrophorhabdaceae,0.0,0.30429596,0.4349045,0.0,0.33541116,0.0,0.39161068,0.42489776,0.39242226,0.41880947,0.318011,0.27211696,0.43967777,0.0,0.0,0.28982025,0.0,0.30325353,0.3979103,0.0,0.35733688,0.34619242,0.0,0.0,0.0,0.0,0.4459806
Synergistaceae,0.0,0.42290384,0.4270511,0.32177898,0.3899582,0.38224527,0.0,0.0,0.4150002,0.27639276,0.0,0.0,0.0,0.0,0.0,0.0,0.30325353,0.0,0.0,0.0,0.38813284,0.0,0.0,0.0,0.0,0.37696034,0.0
Prolixibacteraceae,0.4502771,0.0,0.45539135,0.0,0.0,0.36663067,0.45274994,0.36457857,0.35606784,0.3975089,0.33955035,0.0,0.0,0.0,0.45187414,0.0,0.3979103,0.0,0.0,0.0,0.3899214,0.38016745,0.0,0.4025053,0.38874453,0.0,0.0
Methanosaetaceae,0.32501528,0.33927777,0.0,0.0,0.0,0.0,0.0,0.44382027,0.0,0.30492437,0.42293474,0.38858074,0.45823872,0.0,0.0,0.44767436,0.0,0.0,0.0,0.0,0.0,0.40466923,0.2667337,0.0,0.0,0.0,0.0
Christensenellaceae,0.0,0.45355973,0.3427191,0.4344803,0.43512836,0.3897324,0.31478316,0.0,0.34039065,0.42598307,0.0,0.0,0.0,0.38099042,0.39856884,0.0,0.35733688,0.38813284,0.3899214,0.0,0.0,0.0,0.0,0.28546417,0.30687496,0.36142737,0.38822383
Methanoregulaceae,0.0,0.0,0.32720926,0.0,0.42518532,0.0,0.0,0.33931124,0.0,0.45154768,0.38730878,0.0,0.36672992,0.0,0.0,0.0,0.34619242,0.0,0.38016745,0.40466923,0.0,0.0,0.0,0.0,0.4472453,0.0,0.0
Geobacteraceae,0.31177977,0.0,0.0,0.0,0.0,0.4592688,0.0,0.27842197,0.45398137,0.0,0.42325255,0.45159614,0.4439269,0.0,0.43388605,0.37427026,0.0,0.0,0.0,0.2667337,0.0,0.0,0.0,0.0,0.0,0.3697481,0.0
SBR1031,0.0,0.0,0.0,0.44760853,0.0,0.0,0.330891,0.0,0.4176958,0.31921646,0.0,0.0,0.0,0.4498615,0.39396358,0.421753,0.0,0.0,0.4025053,0.0,0.28546417,0.0,0.0,0.0,0.0,0.33586335,0.0
