target,model,knn_mse,knn_rmse,knn_r2,explainer_mse,explainer_rmse,explainer_r2,mse_improvement,rmse_improvement,r2_improvement
ACE-km,gcn,106.79321,10.115224,-0.0685633036885255,105.36318,10.049152,-0.05562563654766366,1.339065283536911,0.6531888153403997,18.869667073856373
ACE-km,rggc,83.26499,8.953755,0.15407482604006867,81.756546,8.839851,0.18473456365194438,1.8116205930709839,1.2721366249024868,19.899251811520685
ACE-km,gat,38.48555,6.0805993,0.5276821456298882,39.30301,6.0692744,0.5405738879314108,-2.1240675821900368,0.1862461562268436,2.443088591927597
H2-km,gcn,1449.3574,37.23089,-0.6050480339551041,1399.3386,36.439095,-0.513888343457081,3.45110185444355,2.126712165772915,15.066521231732047
H2-km,rggc,1541.1438,38.491432,-0.7387744859693302,1392.4839,36.40239,-0.5130346193818588,9.646076709032059,5.427292734384537,30.555991154903374
H2-km,gat,836.54004,28.200794,0.008995913727745265,990.8214,30.457464,-0.07225438242903304,-18.442796170711517,-8.002150803804398,-903.1911445102628
