target,knn_mse,knn_rmse,knn_r2,explainer_mse,explainer_rmse,explainer_r2,mse_improvement,rmse_improvement,r2_improvement
ACE-km,120.90198,10.716905,-0.1945304053135205,120.27468,10.722925,-0.20142159425947312,0.5188471172004938,-0.056178029626607895,-3.5424739566271053
H2-km,1703.1481,40.482174,-0.9036735630053119,1690.2107,40.358963,-0.9041494931299594,0.7596155628561974,0.3043584292754531,-0.05266615558219337
